Number, Label, Comment, X, Y, Z, X_Toe, Y_Toe, Z_Toe, Diameter, Length, Subdrilling, Stemming, Burden, Spacing, Angle, Azimuth, WaterLevel, DetonatingTime, GlobalId, DesignCharge, InputedCharge, Row_Number, Detonators, Boosters, PathLetter
110, , , 748814.280, 8930582.520, 221.200, 748814.280, 8930582.520, 211.000, 0.102, 10.200, 0.000, 4.500, 0.000, 0.000, 0.0, 0.0, 0.000, 3905, edc08f2b-eebe-4f12-b470-fab39a010f54, 0.0, 45.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
112, , , 748810.500, 8930585.790, 221.180, 748810.500, 8930585.790, 211.180, 0.102, 10.000, 0.000, 4.400, 0.000, 0.000, 0.0, 0.0, 0.000, 3891, d75e21f3-ae85-4b63-98c5-64f3b06d6392, 0.0, 30.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
113, , , 748808.610, 8930587.420, 221.050, 748808.610, 8930587.420, 211.550, 0.102, 9.500, 0.000, 4.400, 0.000, 0.000, 0.0, 0.0, 0.000, 3882, 48b0660a-0b7a-4024-9a5e-fa3b2a1777a4, 0.0, 41.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
115, , , 748804.830, 8930590.690, 220.890, 748804.830, 8930590.690, 210.690, 0.102, 10.200, 0.000, 4.400, 0.000, 0.000, 0.0, 0.0, 0.000, 3863, 0f7f299b-b97a-488e-8485-6e8cb3573314, 0.0, 60.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
116, , , 748802.940, 8930592.330, 221.380, 748802.940, 8930592.330, 210.380, 0.102, 11.000, 0.000, 4.400, 0.000, 0.000, 0.0, 0.0, 0.000, 3844, 16b19ab2-1175-45e7-a59e-e93677332988, 0.0, 58.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
117, , , 748801.040, 8930593.960, 221.320, 748801.040, 8930593.960, 211.320, 0.102, 10.000, 0.000, 4.500, 0.000, 0.000, 0.0, 0.0, 0.000, 3832, dac2698c-8c25-477e-8439-d424c9e4e444, 0.0, 57.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
118, , , 748799.150, 8930595.600, 221.350, 748799.150, 8930595.600, 210.350, 0.102, 11.000, 0.000, 4.600, 0.000, 0.000, 0.0, 0.0, 0.000, 3823, df7bfca1-a3d5-4d4b-8e29-050d5fe5ad88, 0.0, 62.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
119, , , 748797.260, 8930597.240, 220.940, 748797.260, 8930597.240, 210.140, 0.102, 10.800, 0.000, 4.400, 0.000, 0.000, 0.0, 0.0, 0.000, 3804, 60d16218-020c-46eb-9800-92072ae4799a, 0.0, 63.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
120, , , 748795.320, 8930598.810, 220.930, 748795.320, 8930598.810, 210.430, 0.102, 10.500, 0.000, 4.000, 0.000, 0.000, 0.0, 0.0, 0.000, 3797, d2bd3c31-2306-4f5f-8e1f-6d88c55fc9c9, 0.0, 55.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
121, , , 748793.360, 8930600.360, 220.490, 748793.360, 8930600.360, 210.990, 0.102, 9.500, 0.000, 4.500, 0.000, 0.000, 0.0, 0.0, 0.000, 3792, bf9c3e60-0fda-4b9c-bd7f-36b7a698d94d, 0.0, 50.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
122, , , 748791.400, 8930601.910, 220.340, 748791.400, 8930601.910, 213.340, 0.102, 7.000, 0.000, 4.500, 0.000, 0.000, 0.0, 0.0, 0.000, 3778, df4e11b1-90fc-45ec-bab2-961aad985a4e, 0.0, 24.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
